slate_date,classification,reason,identities
2026-05-01,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,150
2026-05-02,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,106
2026-05-03,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,177
2026-05-04,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,133
2026-05-05,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,125
2026-05-06,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,116
2026-05-07,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,119
2026-05-08,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,154
2026-05-09,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,174
2026-05-10,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,169
2026-05-11,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,53
2026-05-12,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,153
2026-05-13,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,130
2026-05-14,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,126
2026-05-15,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,125
2026-05-16,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,183
2026-05-17,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,140
2026-05-18,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,183
2026-05-19,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,172
2026-05-20,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,149
2026-05-21,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,63
2026-05-22,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,148
2026-05-23,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,171
2026-05-24,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-05-25,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-05-26,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-05-27,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-05-28,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-05-29,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-05-30,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-05-31,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-01,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-02,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-03,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-04,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-05,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-06,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-07,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-08,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-09,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-10,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-11,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-12,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-13,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-14,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-15,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-16,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-17,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-18,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,NO_TWO_SIDED_TB15_MARKET,0
2026-06-19,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,144
2026-06-20,RECOVERED_GRADE_B_EXACT_REPLAY,EXACT_RAW_RUN_AND_SAME_RUN_ROSTER_RECOVERED,162
