slate_date,run_tag,odds_payload_present,same_run_roster_present,raw_exact_rows,decision,reason
2026-05-01,local_daily_20260501T134007Z,YES,YES,150,ELIGIBLE,ELIGIBLE
2026-05-01,local_daily_20260501T163000Z,YES,YES,105,ELIGIBLE,ELIGIBLE
2026-05-01,local_daily_20260501T180002Z,YES,YES,111,ELIGIBLE,ELIGIBLE
2026-05-01,local_daily_20260501T200001Z,YES,YES,102,ELIGIBLE,ELIGIBLE
2026-05-01,local_daily_20260501T233005Z,YES,YES,48,ELIGIBLE,ELIGIBLE
2026-05-02,local_daily_20260502T150407Z,YES,YES,106,ELIGIBLE,ELIGIBLE
2026-05-02,local_daily_20260502T163004Z,YES,YES,104,ELIGIBLE,ELIGIBLE
2026-05-02,local_daily_20260502T180005Z,YES,YES,100,ELIGIBLE,ELIGIBLE
2026-05-02,local_daily_20260502T200004Z,YES,YES,97,ELIGIBLE,ELIGIBLE
2026-05-02,local_daily_20260502T233001Z,YES,YES,28,ELIGIBLE,ELIGIBLE
2026-05-03,local_daily_20260503T123919Z,YES,YES,177,ELIGIBLE,ELIGIBLE
2026-05-03,local_daily_20260503T163005Z,YES,YES,145,ELIGIBLE,ELIGIBLE
2026-05-03,local_daily_20260503T180001Z,YES,YES,90,ELIGIBLE,ELIGIBLE
2026-05-03,local_daily_20260503T200004Z,YES,YES,56,ELIGIBLE,ELIGIBLE
2026-05-03,local_daily_20260503T233004Z,YES,YES,7,ELIGIBLE,ELIGIBLE
2026-05-04,local_daily_20260504T124203Z,YES,YES,133,ELIGIBLE,ELIGIBLE
2026-05-04,local_daily_20260504T163003Z,YES,YES,131,ELIGIBLE,ELIGIBLE
2026-05-04,local_daily_20260504T180004Z,YES,YES,109,ELIGIBLE,ELIGIBLE
2026-05-04,local_daily_20260504T200002Z,YES,YES,111,ELIGIBLE,ELIGIBLE
2026-05-04,local_daily_20260504T233001Z,YES,YES,43,ELIGIBLE,ELIGIBLE
2026-05-05,local_daily_20260505T123002Z,YES,YES,0,NO_TWO_SIDED_TB15_MARKET,NO_TWO_SIDED_TB15_MARKET
2026-05-05,local_daily_20260505T163000Z,YES,YES,125,ELIGIBLE,ELIGIBLE
2026-05-05,local_daily_20260505T180005Z,YES,YES,106,ELIGIBLE,ELIGIBLE
2026-05-05,local_daily_20260505T200005Z,YES,YES,113,ELIGIBLE,ELIGIBLE
2026-05-05,local_daily_20260505T233004Z,YES,YES,56,ELIGIBLE,ELIGIBLE
2026-05-06,local_daily_20260506T123000Z,YES,YES,116,ELIGIBLE,ELIGIBLE
2026-05-06,local_daily_20260506T163004Z,YES,YES,117,ELIGIBLE,ELIGIBLE
2026-05-06,local_daily_20260506T180002Z,YES,YES,109,ELIGIBLE,ELIGIBLE
2026-05-06,local_daily_20260506T200004Z,YES,YES,85,ELIGIBLE,ELIGIBLE
2026-05-06,local_daily_20260506T233005Z,YES,YES,36,ELIGIBLE,ELIGIBLE
2026-05-07,local_daily_20260507T123004Z,YES,YES,119,ELIGIBLE,ELIGIBLE
2026-05-07,local_daily_20260507T163004Z,YES,YES,114,ELIGIBLE,ELIGIBLE
