source_lineage_grade,slate_date,side,frozen_rows,settled_wagers,wins,losses,voids,supported_nonappearances,book_rule_uncertified,technical_unresolved,stake_at_risk,returned_stake,gross_winning_profit,net_dollars,roi,average_odds
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-07-29,OVER,151,142,56,86,8,7,0,1,710,40,378.0549995540093,-51.945000445990544,-0.0731619724591416,129.94366197183098
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-07-29,UNDER,151,142,86,56,8,7,0,1,710,40,242.15961047884468,-37.840389521155245,-0.05329632326923274,-180.50704225352112
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-07-30,OVER,87,82,26,56,5,4,0,0,410,25,182.87962962962962,-97.12037037037035,-0.2368789521228545,131.52439024390245
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-07-30,UNDER,87,82,56,26,5,4,0,0,410,25,163.90742185413689,33.907421854136885,0.08270102891252899,-179.0
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-07-31,OVER,170,158,59,99,11,10,0,1,790,55,383.5323146404594,-111.46768535954064,-0.1410983358981527,114.57594936708861
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-07-31,UNDER,170,158,99,59,11,10,0,1,790,55,285.0839147746696,-9.916085225330402,-0.012552006614342281,-177.09493670886076
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-08-01,OVER,96,91,36,55,5,5,0,0,455,25,244.02938094348517,-30.970619056514806,-0.06806729462970287,123.96703296703296
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-08-01,UNDER,96,91,55,36,5,5,0,0,455,25,156.4206171060668,-23.579382893933193,-0.05182281954710592,-180.0879120879121
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-08-02,OVER,157,132,40,92,25,15,0,0,660,125,272.3657401068069,-187.63425989319302,-0.2842943331715046,122.37878787878788
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,2026-08-02,UNDER,157,132,92,40,25,15,0,0,660,125,258.65776967116096,58.65776967116084,0.08887540859266795,-180.0151515151515
